county_id,amt,cont_cnt
21205,48507.0,288
21207,86649.0,343
21209,269354.0,1389
21211,699241.0,4431
21213,102723.0,633
21215,85895.0,955
21217,33855.0,275
21219,35132.0,349
21221,52962.0,226
21223,5036.0,273
21225,31334.0,136
21227,212158.0,1541
21229,88865.0,448
21231,81563.0,304
21233,47665.0,340
21235,143099.0,507
21237,3837.0,41
21239,477119.0,1673
22001,178095.0,1103
22003,103931.0,589
22005,123773.0,1294
22007,454067.0,922
22009,292936.0,732
22011,46903.0,787
22013,65793.0,285
22015,988016.0,4490
22017,994727.0,4189
22019,616904.0,2291
22021,5125.0,36
22023,218580.0,1264
22025,6849.0,69
22027,45449.0,306
22029,9184.0,93
22031,31544.0,388
22033,2890602.0,8539
22035,14000.0,16
22037,154690.0,1446
22039,172087.0,828
22041,27794.0,258
22043,26658.0,512
22045,307581.0,1261
22047,108857.0,407
22049,263946.0,671
22051,3148545.0,8358
22053,140047.0,443
22055,1167222.0,4242
22057,980822.0,1100
22059,10486.0,82
22061,319020.0,729
22063,329759.0,2178
22065,8152.0,194
22067,56676.0,193
22069,139116.0,828
22071,3674727.0,11169
22073,428263.0,2117
22075,76709.0,503
22077,303871.0,811
22079,499419.0,1667
22081,186293.0,834
22083,18516.0,197
22085,10328.0,91
22087,72850.0,411
22089,95276.0,892
22091,262151.0,1145
22093,131379.0,1128
22095,69636.0,496
22097,355877.0,1314
22099,280786.0,1015
22101,306323.0,1216
22103,1326194.0,5783
22105,803426.0,3911
22107,11259.0,141
22109,543185.0,1724
22111,271119.0,729
22113,421788.0,2042
22115,33854.0,389
22117,57478.0,472
22119,151188.0,622
22121,102372.0,398
22123,10987.0,112
22125,285879.0,822
22127,121203.0,800
23001,79280.0,888
23003,71711.0,394
23005,1232617.0,8763
23007,20095.0,249
23009,194553.0,2110
23011,162378.0,1841
23013,435140.0,1413
23015,87676.0,1885
23017,76663.0,949
23019,115669.0,597
23021,6051.0,118
23023,208322.0,2897
23025,31359.0,565
23027,68531.0,849
23029,33361.0,768
23031,323664.0,3991
24001,123748.0,1574
24003,3833612.0,20151
24005,5526929.0,27518
24009,238311.0,2079
24011,23845.0,314
24013,663613.0,4573
24015,130518.0,1433
24017,339152.0,4069
24019,41959.0,407
24021,654644.0,7861
24023,75564.0,785
24025,949813.0,5808
24027,2905945.0,13552
24029,141364.0,739
24031,19007749.0,77538
24033,2227101.0,23343
24035,207100.0,1363
24037,240712.0,1923
24039,18378.0,277
24041,352867.0,1968
24043,256200.0,3069
24045,200184.0,1809
24047,377373.0,1979
24510,4127447.0,20316
25001,963084.0,8457
25003,444944.0,3769
25005,546476.0,5959
25007,337247.0,1423
25009,2200993.0,13855
25011,276803.0,3679
25013,269308.0,5313
25015,529802.0,5288
25017,17233061.0,69468
25019,434098.0,305
25021,5540027.0,24385
25023,1100697.0,6007
25025,8319635.0,28207
25027,660979.0,8763
26001,17965.0,191
26003,8020.0,152
26005,1083754.0,4370
26007,22810.0,388
26009,146236.0,1657
26011,24856.0,299
26013,4232.0,41
26015,414481.0,2183
26017,381789.0,3363
26019,158627.0,1535
26021,396540.0,3366
26023,48680.0,429
26025,203899.0,2531
26027,124173.0,1368
26029,178994.0,1642
26031,143960.0,1632
26033,32057.0,319
26035,47685.0,512
26037,829269.0,6664
26039,27177.0,281
26041,45385.0,1152
26043,29245.0,318
26045,348569.0,3165
26047,551557.0,2415
26049,655223.0,6399
26051,31445.0,426
26053,18343.0,320
26055,296544.0,2395
26057,77290.0,562
26059,72971.0,458
26061,27100.0,433
26063,195293.0,681
26065,1600187.0,10191
26067,132791.0,1458
26069,18396.0,217
26071,14058.0,156
26073,300673.0,990
26075,498438.0,5768
26077,1512652.0,8402
26079,35014.0,602
26081,3747940.0,12011
26083,4226.0,55
26085,60956.0,585
26087,229442.0,2401
26089,227003.0,1645
26091,425588.0,2319
26093,820769.0,8395
26095,2532.0,21
26097,76436.0,242
26099,3990608.0,38772
26101,102756.0,483
26103,62984.0,937
26105,139094.0,616
26107,72097.0,618
26109,25090.0,296
26111,673315.0,4420
26113,64256.0,533
26115,280041.0,2867
26117,69523.0,668
26119,11444.0,137
26121,283770.0,2858
26123,79529.0,829
26125,10185412.0,60622
26127,35395.0,346
26129,25492.0,454
26131,3943.0,54
26133,28954.0,375
26135,23849.0,143
26137,35786.0,367
26139,1006134.0,5599
26141,54636.0,591
26143,44568.0,506
26145,383269.0,2789
26147,450395.0,1799
26149,75166.0,762
26151,407825.0,694
26153,6087.0,100
26155,169530.0,1899
26157,140287.0,995
26159,376211.0,3391
26161,4327465.0,35037
26163,6715581.0,60070
26165,57597.0,493
27001,42263.0,374
27003,1189428.0,10323
27005,73428.0,481
27007,63168.0,707
27009,186885.0,1047
27011,19471.0,431
27013,173189.0,1497
27015,48568.0,427
27017,31147.0,351
27019,716765.0,3282
27021,181013.0,1870
27023,130224.0,431
27025,114710.0,1728
27027,427944.0,1510
27029,18820.0,146
27031,17705.0,179
27033,18830.0,170
